gsi_id,fish_id,collection,mixture_collection,id_source,pbt_brood_year,pbt_brood_collection,repunit_1,prob_1,repunit_2,prob_2,repunit_3,prob_3,repunit_4,prob_4,repunit_5," prob_5",top_collection,top_collection_prob,file_name
301_2020_2021_3167,N3167,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3168,N3168,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2831,N2831,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,99.999899999999997,SPS,1E-4,,,,,,,SNOHOMISH_RIVER,59.047759999999997,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2832,N2832,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,NoKy,100,,,,,,,,,TAHSIS_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3145,N3145,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,100,,,,,,,,,SNOHOMISH_RIVER,85.592839999999995,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3146,N3146,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SR-F,99.098619999999997,UCR-SuF,0.89968000000000004,OK,1.6999999999999999E-3,,,,,LYON'S_FERRY,99.098619999999997,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3147,N3147,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,COWA,100,,,,,,,,,FORKS_CREEK_HATCHERY,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3148,N3148,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,100,,,,,,,,,SKAGIT_RIVER,99.994060000000005,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3149,N3149,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,SARITA_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3150,N3150,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3152,N3152,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,SARITA_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3153,N3153,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,99.843540000000004,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3154,N3154,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,100,,,,,,,,,NOOKSACK_RIVER,99.954830000000001,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3155,N3155,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,NITINAT_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3156,N3156,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,COWLITZ_HATCHERY_SPRING,99.999660000000006,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3157,N3157,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,99.992810000000006,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3169,N3169,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.999880000000005,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3170,N3170,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.933080000000004,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3171,N3171,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3172,N3172,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,99.956379999999996,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3173,N3173,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,LCR,100,,,,,,,,,ABERNATHY_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
